symbol	n	sources	fusion	tumorsuppressor	oncogene
CIITA	6	MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known|NGC_other	TRUE	TRUE	FALSE
CKS1B	2	FoundatoinHEME|TEMPUS	FALSE	FALSE	FALSE
CLIP1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
CLP1	3	FoundatoinHEME|OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
CLTC	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CLTCL1	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CNBD1	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
CNBP	2	CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CNOT3	4	CancerGeneCensus_Tier1|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
CNTNAP2	4	OncoKB-Annotated|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
CNTRL	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
COL1A1	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
COL2A1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
COL3A1	3	OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	FALSE
COP1	3	TS500|MSKCC-IMPACT|FamilialCancer	FALSE	FALSE	FALSE
COX6C	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
CPEB3	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
CRBN	2	MSKCC-HEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CREB1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
CREB3L1	4	FoundatoinHEME|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
CREB3L2	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
CREBBP	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	TRUE	FALSE	FALSE
CRKL	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300|Cancermine	FALSE	FALSE	TRUE
CRLF2	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	TRUE
CRNDE	1	Cancermine	FALSE	FALSE	TRUE
CRNKL1	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
CRTC1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
CRTC3	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
CSDE1	2	MSKCC-IMPACT|NGC_other	FALSE	FALSE	FALSE
CSF1	2	FoundatoinHEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CSF1R	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|Cancermine	FALSE	FALSE	TRUE
CSF2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CSF3R	7	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	TRUE
CSMD3	3	OncoKB-Annotated|NGC_known|NGC_other	FALSE	TRUE	FALSE
CSNK1A1	2	TS500|FamilialCancer	FALSE	FALSE	FALSE
CTCF	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
CTLA4	4	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CTNNA1	6	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CTNNA2	3	OncoKB-Annotated|FamilialCancer|NGC_known	FALSE	FALSE	TRUE
CTNNB1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
CTNND1	3	OncoKB-Annotated|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
CTNND2	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
CUL3	8	PMCC|TS500|MSKCC-IMPACT|FoundationONE|OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	TRUE	FALSE
CUX1	8	TS500|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|FamilialCancer|NGC_known|NGC_other	FALSE	FALSE	FALSE
CXCR2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CXCR4	8	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	FALSE	TRUE
CYLD	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
CYP1B1	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CYP2C8	3	OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known	FALSE	FALSE	FALSE
CYP2D6	4	PMCC|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
CYP3A5	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CYR61	1	Cancermine	FALSE	TRUE	FALSE
CYSLTR2	3	MSKCC-IMPACT|OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
DAB2	1	Cancermine	FALSE	TRUE	FALSE
DAPK1	1	Cancermine	FALSE	TRUE	TRUE
DAXX	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	FALSE
DCAF12L2	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
DCC	4	OncoKB-Annotated|FamilialCancer|NGC_known|Cancermine	FALSE	TRUE	FALSE
DCTN1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
DCUN1D1	4	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
DDB2	4	TEMPUS|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
DDIT3	4	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known|Cancermine	TRUE	FALSE	TRUE
DDR2	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known	FALSE	FALSE	TRUE
DDX10	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
DDX3X	9	PMCC|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|FamilialCancer|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
DDX41	2	TS500|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
DDX5	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
DDX58	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
DDX6	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
DEK	4	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known|Cancermine	TRUE	FALSE	TRUE
DGCR8	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
DHX15	2	TS500|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
DICER1	10	PMCC|TS500|MSKCC-IMPACT|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
DIRAS3	2	FamilialCancer|Cancermine	FALSE	TRUE	FALSE
DIS3	6	TS500|MSKCC-IMPACT|MSKCC-HEME|TEMPUS|CancerGeneCensus_Tier2|NGC_other	FALSE	FALSE	FALSE
DLC1	1	Cancermine	FALSE	TRUE	FALSE
DLK1	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
DNAJB1	5	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	FALSE	FALSE
DNM2	5	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known|NGC_other	FALSE	TRUE	FALSE
DNMT1	5	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	FALSE	TRUE
DNMT3A	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
DNMT3B	4	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
DOT1L	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
DPYD	3	PMCC|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
DROSHA	3	MSKCC-IMPACT|CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
DSP	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
DTX1	2	MSKCC-HEME|FoundatoinHEME	FALSE	FALSE	FALSE
DUSP22	3	MSKCC-HEME|FoundatoinHEME|FamilialCancer	FALSE	FALSE	FALSE
DUSP4	2	MSKCC-IMPACT|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
DUSP6	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
DUSP9	2	FoundatoinHEME|FamilialCancer	FALSE	FALSE	FALSE
E2F3	3	TS500|MSKCC-IMPACT|FamilialCancer	FALSE	FALSE	FALSE
EBF1	4	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
ECT2L	4	FoundatoinHEME|TEMPUS|OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
EED	9	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|OncoKB-Annotated|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
EGF	2	TEMPUS|Cancermine	FALSE	FALSE	TRUE
EGFL7	2	TS500|MSKCC-IMPACT	FALSE	FALSE	FALSE
EGFR	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
EGLN1	2	TEMPUS|FamilialCancer	FALSE	FALSE	FALSE
EGR1	3	MSKCC-HEME|FamilialCancer|Cancermine	FALSE	TRUE	TRUE
EIF1AX	6	PMCC|TS500|MSKCC-IMPACT|OncoKB-Annotated|NGC_known|NGC_other	FALSE	FALSE	FALSE
EIF3E	2	CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
EIF4A2	7	TS500|MSKCC-IMPACT|FoundatoinHEME|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	TRUE	FALSE	FALSE
EIF4E	3	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
ELF3	7	MSKCC-IMPACT|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ELF4	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ELK4	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
ELL	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
ELN	3	FoundatoinHEME|OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
ELOC	3	TS500|MSKCC-IMPACT|NGC_other	FALSE	FALSE	FALSE
EML4	5	TS500|FoundatoinHEME|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	FALSE
EMP3	1	Cancermine	FALSE	TRUE	FALSE
EMSY	5	PMCC|TS500|FoundationONE|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
EP300	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	TRUE	TRUE	FALSE
EPAS1	4	MSKCC-IMPACT|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
EPCAM	3	TS500|MSKCC-IMPACT|TEMPUS	FALSE	FALSE	FALSE
EPHA2	3	TEMPUS|FamilialCancer|Cancermine	FALSE	FALSE	TRUE
EPHA3	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|OncoKB-Annotated|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	FALSE	FALSE
EPHA5	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|CancerGeneCensus_Tier2|NGC_other	FALSE	FALSE	FALSE
EPHA7	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	FALSE
EPHB1	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
EPHB2	3	TEMPUS|FamilialCancer|Cancermine	FALSE	TRUE	FALSE
EPHB4	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
EPHB6	3	CancerGeneCensus_Tier2|FamilialCancer|AZ300	FALSE	FALSE	FALSE
EPOR	2	FoundatoinHEME|TEMPUS	FALSE	FALSE	FALSE
EPS15	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
ERBB2	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	TRUE	TRUE
ERBB3	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
ERBB4	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
ERC1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ERCC1	5	PMCC|TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
ERCC2	9	PMCC|TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ERCC3	5	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
ERCC4	6	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
ERCC5	4	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1	FALSE	FALSE	FALSE
ERF	2	MSKCC-IMPACT|FamilialCancer	FALSE	FALSE	FALSE
ERG	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
ERRFI1	8	PMCC|TS500|MSKCC-IMPACT|FoundationONE|TEMPUS|CancerGeneCensus_Tier2|FamilialCancer|AZ300	FALSE	FALSE	FALSE
ESR1	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	TRUE	TRUE	FALSE
ESR2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
ETNK1	3	MSKCC-HEME|CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
ETS1	4	TS500|FoundatoinHEME|TEMPUS|Cancermine	FALSE	FALSE	TRUE
ETS2	2	TEMPUS|FamilialCancer	FALSE	FALSE	FALSE
ETV1	8	TS500|MSKCC-IMPACT|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	TRUE
ETV4	7	TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	TRUE
ETV5	7	TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	TRUE
ETV6	12	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other|Cancermine	TRUE	TRUE	TRUE
EWSR1	8	PMCC|TS500|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|Cancermine	TRUE	FALSE	TRUE
EXT1	4	CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
EXT2	3	CancerGeneCensus_Tier1|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
EZH1	2	MSKCC-IMPACT|FamilialCancer	FALSE	FALSE	FALSE
EZH2	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
EZR	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
FAM131B	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
FAM135B	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
FAM46C	1	NGC_known	FALSE	TRUE	FALSE
FAM47C	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
FANCA	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	TRUE	FALSE
FANCB	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
FANCC	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
FANCD2	9	PMCC|TS500|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
FANCE	8	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
FANCF	8	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
FANCG	9	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
FANCI	3	TS500|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
FANCL	6	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
FANCM	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
FAS	11	PMCC|TS500|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
FASN	1	Cancermine	FALSE	FALSE	TRUE
FAT1	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
FAT3	4	OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	FALSE
FAT4	4	CancerGeneCensus_Tier1|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
FBLN2	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
FBXO11	7	MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	TRUE	FALSE
FBXO31	2	FoundatoinHEME|FamilialCancer	FALSE	FALSE	FALSE
FBXW7	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
FCGR2B	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
FCRL4	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
FEN1	3	OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known	FALSE	TRUE	FALSE
FES	2	CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	FALSE
FEV	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
FGF1	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF10	7	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF14	7	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF19	9	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|CancerGeneCensus_Tier2|AZ300|Cancermine	FALSE	FALSE	TRUE
FGF2	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF23	7	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF3	9	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF4	9	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF5	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF6	7	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF7	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF8	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGF9	4	TS500|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
FGFR1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
FGFR1OP	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
FGFR2	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
FGFR3	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
FGFR4	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	FALSE	FALSE	TRUE
FH	9	PMCC|TS500|MSKCC-IMPACT|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
FHIT	6	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|FamilialCancer|NGC_known|Cancermine	TRUE	TRUE	TRUE
FIP1L1	3	CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	FALSE
FKBP9	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
FLCN	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|Cancermine	FALSE	TRUE	FALSE
FLG	2	TEMPUS|NGC_other	FALSE	FALSE	FALSE
FLI1	4	TS500|FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
FLNA	3	OncoKB-Annotated|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
FLT1	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
